cycle, observation, reward, action, explored, explore_rate, total reward, average reward
19876, 1, 1, 1, 0, 4.62497e-10, 15279, 0.768716
19877, 1, 1, 1, 0, 4.62034e-10, 15280, 0.768728
19878, 1, 1, 0, 0, 4.61572e-10, 15281, 0.768739
19879, 1, 0, 1, 0, 4.6111e-10, 15281, 0.768701
19880, 1, 1, 1, 0, 4.60649e-10, 15282, 0.768712
19881, 1, 1, 1, 0, 4.60189e-10, 15283, 0.768724
19882, 1, 1, 1, 0, 4.59728e-10, 15284, 0.768736
19883, 1, 1, 1, 0, 4.59269e-10, 15285, 0.768747
19884, 1, 1, 0, 0, 4.58809e-10, 15286, 0.768759
19885, 1, 0, 1, 0, 4.58351e-10, 15286, 0.76872
19886, 1, 1, 1, 0, 4.57892e-10, 15287, 0.768732
19887, 1, 1, 1, 0, 4.57434e-10, 15288, 0.768743
19888, 0, 0, 1, 0, 4.56977e-10, 15288, 0.768705
19889, 1, 1, 1, 0, 4.5652e-10, 15289, 0.768716
19890, 1, 1, 1, 0, 4.56064e-10, 15290, 0.768728
19891, 1, 1, 1, 0, 4.55607e-10, 15291, 0.76874
19892, 1, 1, 1, 0, 4.55152e-10, 15292, 0.768751
